,읍면동명,이용자수,이용금액,업종명,점포 수,점포당 매출액
33,조천읍,15079,1767278594,숙박업,108.0,16363690.685185185
34,중문동,19293,4217218373,숙박업,33.0,127794496.15151516
35,중앙동,30688,2743967720,숙박업,9.0,304885302.2222222
36,천지동,32435,2937384465,숙박업,44.0,66758737.84090909
37,추자면,907,128805700,숙박업,10.0,12880570.0
38,표선면,4752,386287650,숙박업,40.0,9657191.25
39,한경면,741,75207110,숙박업,33.0,2279003.3333333335
40,한림읍,17353,1387517077,숙박업,110.0,12613791.60909091
41,화북동,1,420000,숙박업,2.0,210000.0
42,효돈동,104,28767900,숙박업,7.0,4109700.0
0,건입동,235379,8326356158,음식,159.0,52367019.86163522
1,구좌읍,444206,14075039261,음식,693.0,20310301.963924963
2,남원읍,202722,7533086862,음식,380.0,19823912.794736844
3,노형동,1505234,51892607922,음식,861.0,60270160.18815331
4,대륜동,280970,8921240742,음식,295.0,30241494.040677965
5,대정읍,376799,14847802229,음식,502.0,29577295.27689243
6,대천동,238757,6863190482,음식,205.0,33478977.96097561
7,도두동,151815,6297049734,음식,177.0,35576552.16949152
8,동홍동,308887,11297287404,음식,284.0,39779181.0
9,봉개동,68471,1993691220,음식,71.0,28080158.028169014
10,삼도1동,141186,4604730225,음식,181.0,25440498.480662983
11,삼도2동,219932,8050837626,음식,215.0,37445756.4
12,삼양동,338774,9364047883,음식,232.0,40362275.35775862
13,서홍동,131686,3447483113,음식,98.0,35178399.1122449
14,성산읍,454499,17177623139,음식,609.0,28206277.73234811
15,송산동,1087616,39204891377,음식,152.0,257926916.95394737
16,아라동,800117,24975055509,음식,454.0,55011135.482378855
17,안덕면,339291,14559922680,음식,521.0,27946108.790786948
18,애월읍,787250,26992281558,음식,843.0,32019313.829181496
19,연동,1239538,52262882930,음식,1062.0,49211754.17137477
20,영천동,103484,3713270037,음식,77.0,48224286.1948052
21,예래동,265638,12613979914,음식,241.0,52340165.61825726
22,오라동,288426,8720145742,음식,148.0,58919903.66216216
23,외도동,324592,10154518317,음식,302.0,33624232.83774834
24,용담1동,96194,4583767849,음식,165.0,27780411.206060607
25,용담2동,576652,14969147221,음식,279.0,53652857.42293907
26,우도면,102570,2695144599,음식,183.0,14727566.114754098
27,이도1동,160517,5016874855,음식,234.0,21439636.132478632
28,이도2동,1471450,46886500716,음식,981.0,47794598.0795107
29,이호동,51433,2185072494,음식,70.0,31215321.34285714
30,일도1동,190336,4798301241,음식,180.0,26657229.116666667
31,일도2동,507779,16262919821,음식,373.0,43600321.23592493
32,정방동,684580,24555916274,음식,143.0,171719694.22377622
33,조천읍,564229,19458786956,음식,673.0,28913502.16344725
34,중문동,276478,11772691013,음식,281.0,41895697.55516014
35,중앙동,684580,24555916274,음식,155.0,158425266.28387097
36,천지동,816266,28003399387,음식,220.0,127288179.03181818
37,추자면,14303,800833103,음식,48.0,16684022.979166666
38,표선면,230240,9667801841,음식,425.0,22747769.037647057
39,한경면,146761,5329274910,음식,300.0,17764249.7
40,한림읍,511357,19469817034,음식,724.0,26892012.477900553
41,화북동,258470,7824392096,음식,229.0,34167651.074235804
42,효돈동,87773,2497370120,음식,91.0,27443627.692307692
